ReviewID,CustomerID,ProductID,ReviewText,Rating,ReviewDate,VADER_Compound,Hybrid_Score,Sentiment_Label,Themes
173,1027,14,comfortable and well made,4,2024-05-22,0.66,0.782,Positive,General
174,1174,8,exactly what i needed for training,5,2024-07-06,0.0,0.8,Positive,General
175,1248,10,decent but not as expected,3,2023-09-29,0.0,0.5,Neutral,Quality
176,1157,17,will buy again,5,2023-02-06,0.0,0.8,Positive,General
177,1004,15,good product but delivery took forever,3,2023-12-03,0.238,0.548,Neutral,Shipping/Delivery
178,1096,13,sizing was way off from the description,1,2023-12-30,0.0,0.2,Negative,Quality
179,1044,17,great value for the price,5,2024-06-10,0.758,0.952,Positive,Price
180,1250,1,exceeded my expectations,5,2023-06-09,0.0,0.8,Positive,General
181,1203,12,quality is top notch,4,2023-11-03,0.202,0.69,Positive,Quality
182,1138,4,will buy again,4,2024-03-25,0.0,0.65,Positive,General
183,1182,14,quality is fine but price is too high,3,2023-01-06,0.103,0.521,Neutral,"Quality, Price"
184,1146,2,comfortable and well made,4,2023-05-17,0.66,0.782,Positive,General
185,1083,7,exceeded my expectations,5,2024-05-05,0.0,0.8,Positive,General
186,1251,16,comfortable and well made,5,2024-11-29,0.66,0.932,Positive,General
187,1205,17,average quality for the price,2,2024-02-03,0.0,0.35,Negative,"Quality, Price"
188,1065,5,very happy with this purchase,4,2023-12-19,0.612,0.772,Positive,General
189,1176,14,great value for the price,5,2024-09-03,0.758,0.952,Positive,Price
190,1145,16,very happy with this purchase,5,2023-03-26,0.612,0.922,Positive,General
191,1262,6,good product but delivery took forever,3,2023-09-13,0.238,0.548,Neutral,Shipping/Delivery
192,1127,14,exactly what i needed for training,4,2023-07-23,0.0,0.65,Positive,General
193,1258,6,quality is top notch,5,2023-07-13,0.202,0.84,Positive,Quality
194,1068,13,quality is fine but price is too high,3,2023-02-09,0.103,0.521,Neutral,"Quality, Price"
195,1219,1,good product but delivery took forever,3,2024-09-23,0.238,0.548,Neutral,Shipping/Delivery
196,1269,10,very happy with this purchase,4,2024-12-17,0.612,0.772,Positive,General
197,1219,16,works great and arrived fast,4,2023-03-04,0.625,0.775,Positive,Shipping/Delivery
198,1138,12,great value for the price,5,2023-10-15,0.758,0.952,Positive,Price
199,1025,6,stopped working after a week,1,2023-02-11,-0.226,0.155,Negative,Quality
200,1242,9,arrived late and packaging was damaged,2,2024-09-13,-0.44,0.262,Negative,Shipping/Delivery
201,1252,12,good product but delivery took forever,3,2023-12-09,0.238,0.548,Neutral,Shipping/Delivery
202,1283,5,comfortable and well made,4,2023-12-06,0.66,0.782,Positive,General
203,1271,12,very happy with this purchase,4,2023-09-01,0.612,0.772,Positive,General
204,1045,4,exactly what i needed for training,4,2023-05-14,0.0,0.65,Positive,General
205,1098,7,exactly what i needed for training,4,2024-12-22,0.0,0.65,Positive,General
206,1280,11,very happy with this purchase,5,2023-11-05,0.612,0.922,Positive,General
207,1079,2,does the job but description was misleading,3,2023-05-11,-0.55,0.39,Negative,Quality
208,1287,12,exactly what i needed for training,4,2024-01-10,0.0,0.65,Positive,General
209,1035,16,works great and arrived fast,4,2024-03-05,0.625,0.775,Positive,Shipping/Delivery
210,1141,5,did not meet my expectations,1,2023-10-24,0.0,0.2,Negative,General
211,1098,13,exactly what i needed for training,5,2024-05-21,0.0,0.8,Positive,General
212,1261,13,great value for the price,5,2024-07-29,0.758,0.952,Positive,Price
213,1106,6,quality is fine but price is too high,3,2023-01-04,0.103,0.521,Neutral,"Quality, Price"
214,1005,17,exceeded my expectations,4,2024-04-11,0.0,0.65,Positive,General
215,1113,10,good product but delivery took forever,3,2024-12-26,0.238,0.548,Neutral,Shipping/Delivery
216,1024,8,arrived late and packaging was damaged,1,2023-10-26,-0.44,0.112,Negative,Shipping/Delivery
217,1143,5,works great and arrived fast,5,2023-10-04,0.625,0.925,Positive,Shipping/Delivery
218,1128,7,stopped working after a week,2,2024-07-01,-0.226,0.305,Negative,Quality
219,1189,11,exceeded my expectations,5,2023-03-27,0.0,0.8,Positive,General
220,1210,10,works great and arrived fast,5,2023-11-29,0.625,0.925,Positive,Shipping/Delivery
221,1113,9,good product but delivery took forever,3,2023-06-30,0.238,0.548,Neutral,Shipping/Delivery
222,1299,4,exceeded my expectations,4,2024-12-05,0.0,0.65,Positive,General
223,1283,7,does the job but description was misleading,3,2024-03-28,-0.55,0.39,Negative,Quality
224,1203,5,decent but not as expected,3,2024-04-01,0.0,0.5,Neutral,Quality
225,1246,3,quality is fine but price is too high,3,2024-05-22,0.103,0.521,Neutral,"Quality, Price"
226,1091,7,quality is top notch,4,2024-08-06,0.202,0.69,Positive,Quality
227,1011,10,great value for the price,5,2023-06-16,0.758,0.952,Positive,Price
228,1097,3,expected better performance,1,2023-05-27,0.44,0.288,Negative,Quality
229,1207,4,did not meet my expectations,2,2024-06-23,0.0,0.35,Negative,General
230,1194,13,did not meet my expectations,2,2023-01-22,0.0,0.35,Negative,General
231,1023,5,exceeded my expectations,5,2023-09-12,0.0,0.8,Positive,General
232,1007,1,comfortable and well made,4,2023-04-19,0.66,0.782,Positive,General
233,1044,7,will buy again,4,2023-05-23,0.0,0.65,Positive,General
234,1158,11,did not meet my expectations,2,2024-05-05,0.0,0.35,Negative,General
235,1137,4,exactly what i needed for training,5,2023-01-22,0.0,0.8,Positive,General
236,1053,17,expected better performance,2,2024-03-01,0.44,0.438,Neutral,Quality
237,1219,13,does the job but description was misleading,3,2023-05-31,-0.55,0.39,Negative,Quality
238,1197,4,good product but delivery took forever,3,2024-05-18,0.238,0.548,Neutral,Shipping/Delivery
239,1145,12,exactly what i needed for training,4,2023-03-20,0.0,0.65,Positive,General
240,1044,2,sizing was way off from the description,2,2024-09-11,0.0,0.35,Negative,Quality
241,1093,14,exceeded my expectations,5,2023-06-03,0.0,0.8,Positive,General
242,1147,12,decent but not as expected,3,2023-04-17,0.0,0.5,Neutral,Quality
243,1136,3,quality is top notch,5,2023-01-03,0.202,0.84,Positive,Quality
244,1076,11,will buy again,4,2023-06-01,0.0,0.65,Positive,General
245,1058,14,stopped working after a week,2,2023-10-13,-0.226,0.305,Negative,Quality
246,1094,13,decent but not as expected,3,2023-12-28,0.0,0.5,Neutral,Quality
247,1212,11,very happy with this purchase,5,2023-05-22,0.612,0.922,Positive,General
248,1282,16,very happy with this purchase,4,2024-07-05,0.612,0.772,Positive,General
249,1298,14,very happy with this purchase,4,2024-06-23,0.612,0.772,Positive,General
250,1121,12,good product but delivery took forever,3,2023-01-03,0.238,0.548,Neutral,Shipping/Delivery
251,1243,5,stopped working after a week,1,2023-04-23,-0.226,0.155,Negative,Quality
252,1072,10,sizing was way off from the description,2,2024-04-16,0.0,0.35,Negative,Quality
253,1115,2,arrived late and packaging was damaged,2,2023-05-22,-0.44,0.262,Negative,Shipping/Delivery
254,1014,14,average quality for the price,1,2024-01-16,0.0,0.2,Negative,"Quality, Price"
255,1038,16,works great and arrived fast,5,2024-08-31,0.625,0.925,Positive,Shipping/Delivery
256,1073,3,sizing was way off from the description,1,2023-09-08,0.0,0.2,Negative,Quality
257,1094,16,exceeded my expectations,5,2023-05-24,0.0,0.8,Positive,General
258,1173,15,exceeded my expectations,5,2024-10-22,0.0,0.8,Positive,General
259,1031,2,quality is top notch,5,2024-09-10,0.202,0.84,Positive,Quality
260,1217,15,exceeded my expectations,5,2024-07-21,0.0,0.8,Positive,General
261,1257,10,quality is fine but price is too high,3,2024-12-27,0.103,0.521,Neutral,"Quality, Price"
262,1048,17,quality is top notch,5,2024-01-22,0.202,0.84,Positive,Quality
263,1206,2,exactly what i needed for training,4,2023-08-13,0.0,0.65,Positive,General
264,1240,16,great value for the price,4,2023-11-17,0.758,0.802,Positive,Price
265,1085,2,very happy with this purchase,4,2024-01-16,0.612,0.772,Positive,General
266,1054,3,comfortable and well made,4,2024-01-07,0.66,0.782,Positive,General
267,1145,6,expected better performance,2,2024-07-08,0.44,0.438,Neutral,Quality
268,1159,7,good product but delivery took forever,3,2024-07-18,0.238,0.548,Neutral,Shipping/Delivery
269,1044,2,will buy again,5,2024-07-31,0.0,0.8,Positive,General
270,1162,3,stopped working after a week,1,2023-11-13,-0.226,0.155,Negative,Quality
271,1204,17,decent but not as expected,3,2023-07-19,0.0,0.5,Neutral,Quality
272,1067,4,exactly what i needed for training,4,2023-12-06,0.0,0.65,Positive,General
273,1077,1,will buy again,5,2024-08-24,0.0,0.8,Positive,General
274,1020,10,customer service never responded,2,2023-06-15,0.0,0.35,Negative,Customer Service
275,1048,8,quality is top notch,5,2023-08-09,0.202,0.84,Positive,Quality
276,1083,17,comfortable and well made,5,2024-06-12,0.66,0.932,Positive,General
277,1068,11,great value for the price,4,2023-10-25,0.758,0.802,Positive,Price
278,1199,8,exactly what i needed for training,5,2023-08-02,0.0,0.8,Positive,General
279,1291,16,quality is top notch,5,2023-04-10,0.202,0.84,Positive,Quality
280,1159,3,stopped working after a week,2,2024-05-25,-0.226,0.305,Negative,Quality
281,1152,6,does the job but description was misleading,3,2023-03-11,-0.55,0.39,Negative,Quality
282,1037,6,exceeded my expectations,5,2024-12-28,0.0,0.8,Positive,General
283,1132,15,exactly what i needed for training,5,2024-10-27,0.0,0.8,Positive,General
284,1250,2,great value for the price,5,2024-01-08,0.758,0.952,Positive,Price
285,1067,15,comfortable and well made,4,2024-01-11,0.66,0.782,Positive,General
286,1212,17,good product but delivery took forever,3,2024-04-05,0.238,0.548,Neutral,Shipping/Delivery
287,1030,8,works great and arrived fast,5,2024-12-17,0.625,0.925,Positive,Shipping/Delivery
288,1054,10,sizing was way off from the description,2,2024-01-20,0.0,0.35,Negative,Quality
289,1115,13,comfortable and well made,5,2024-04-18,0.66,0.932,Positive,General
290,1274,15,average quality for the price,2,2023-04-22,0.0,0.35,Negative,"Quality, Price"
291,1204,14,exactly what i needed for training,4,2023-07-24,0.0,0.65,Positive,General
292,1249,7,exactly what i needed for training,5,2024-12-20,0.0,0.8,Positive,General
293,1020,5,expected better performance,2,2024-04-26,0.44,0.438,Neutral,Quality
294,1017,13,comfortable and well made,5,2023-03-05,0.66,0.932,Positive,General
295,1243,7,good product but delivery took forever,3,2023-02-25,0.238,0.548,Neutral,Shipping/Delivery
296,1217,9,exactly what i needed for training,4,2023-09-16,0.0,0.65,Positive,General
297,1141,13,decent but not as expected,3,2023-03-25,0.0,0.5,Neutral,Quality
298,1269,7,quality is top notch,5,2024-11-16,0.202,0.84,Positive,Quality
299,1048,14,exceeded my expectations,5,2023-12-17,0.0,0.8,Positive,General
300,1179,14,quality is top notch,4,2024-05-08,0.202,0.69,Positive,Quality
301,1224,12,works great and arrived fast,4,2024-12-10,0.625,0.775,Positive,Shipping/Delivery
302,1102,3,quality is top notch,4,2024-11-14,0.202,0.69,Positive,Quality
303,1163,1,quality is top notch,5,2023-06-04,0.202,0.84,Positive,Quality
304,1163,4,works great and arrived fast,4,2024-11-21,0.625,0.775,Positive,Shipping/Delivery
305,1065,15,exactly what i needed for training,5,2024-10-16,0.0,0.8,Positive,General
306,1097,14,quality is top notch,4,2024-12-14,0.202,0.69,Positive,Quality
307,1111,12,works great and arrived fast,5,2023-08-03,0.625,0.925,Positive,Shipping/Delivery
308,1187,1,exactly what i needed for training,5,2023-11-06,0.0,0.8,Positive,General
309,1234,14,decent but not as expected,3,2024-02-25,0.0,0.5,Neutral,Quality
310,1172,4,comfortable and well made,4,2023-06-30,0.66,0.782,Positive,General
311,1084,14,decent but not as expected,3,2024-01-26,0.0,0.5,Neutral,Quality
312,1051,3,did not meet my expectations,2,2023-04-17,0.0,0.35,Negative,General
313,1211,4,exactly what i needed for training,5,2024-05-23,0.0,0.8,Positive,General
314,1258,2,decent but not as expected,3,2024-11-14,0.0,0.5,Neutral,Quality
315,1233,13,decent but not as expected,3,2023-04-28,0.0,0.5,Neutral,Quality
316,1180,15,great value for the price,5,2024-02-27,0.758,0.952,Positive,Price
317,1192,8,does the job but description was misleading,3,2024-06-03,-0.55,0.39,Negative,Quality
318,1213,8,great value for the price,5,2023-01-05,0.758,0.952,Positive,Price
319,1014,5,comfortable and well made,5,2024-01-19,0.66,0.932,Positive,General
320,1293,14,great value for the price,4,2023-09-05,0.758,0.802,Positive,Price
321,1202,2,great value for the price,4,2024-08-14,0.758,0.802,Positive,Price
322,1089,13,great value for the price,4,2023-11-22,0.758,0.802,Positive,Price
323,1065,17,great value for the price,4,2023-05-02,0.758,0.802,Positive,Price
324,1134,6,good product but delivery took forever,3,2023-11-27,0.238,0.548,Neutral,Shipping/Delivery
325,1006,5,exactly what i needed for training,4,2023-01-29,0.0,0.65,Positive,General
326,1013,5,comfortable and well made,4,2024-04-09,0.66,0.782,Positive,General
327,1114,10,very happy with this purchase,4,2023-07-18,0.612,0.772,Positive,General
328,1194,9,average quality for the price,1,2024-11-06,0.0,0.2,Negative,"Quality, Price"
329,1012,4,exactly what i needed for training,4,2023-04-24,0.0,0.65,Positive,General
330,1145,9,customer service never responded,2,2023-07-04,0.0,0.35,Negative,Customer Service
331,1107,13,works great and arrived fast,4,2023-04-14,0.625,0.775,Positive,Shipping/Delivery
332,1250,3,great value for the price,5,2023-08-04,0.758,0.952,Positive,Price
333,1231,6,quality is fine but price is too high,3,2023-07-04,0.103,0.521,Neutral,"Quality, Price"
334,1017,4,will buy again,5,2023-12-18,0.0,0.8,Positive,General
335,1280,1,exceeded my expectations,4,2023-06-12,0.0,0.65,Positive,General
336,1099,1,arrived late and packaging was damaged,1,2024-07-02,-0.44,0.112,Negative,Shipping/Delivery
337,1187,4,arrived late and packaging was damaged,1,2023-08-11,-0.44,0.112,Negative,Shipping/Delivery
338,1065,9,exactly what i needed for training,4,2023-10-08,0.0,0.65,Positive,General
339,1283,10,will buy again,5,2024-04-23,0.0,0.8,Positive,General
340,1205,7,does the job but description was misleading,3,2023-09-14,-0.55,0.39,Negative,Quality
341,1053,10,will buy again,5,2023-06-19,0.0,0.8,Positive,General
342,1229,14,comfortable and well made,5,2024-09-02,0.66,0.932,Positive,General
343,1197,14,comfortable and well made,4,2023-07-24,0.66,0.782,Positive,General
344,1033,15,exceeded my expectations,5,2023-06-21,0.0,0.8,Positive,General
345,1151,17,exactly what i needed for training,4,2023-12-27,0.0,0.65,Positive,General
346,1166,14,good product but delivery took forever,3,2023-07-10,0.238,0.548,Neutral,Shipping/Delivery
347,1191,12,exactly what i needed for training,5,2023-05-29,0.0,0.8,Positive,General
348,1006,11,comfortable and well made,4,2023-08-07,0.66,0.782,Positive,General
349,1288,3,quality is fine but price is too high,3,2024-01-30,0.103,0.521,Neutral,"Quality, Price"
350,1053,9,exactly what i needed for training,5,2024-09-14,0.0,0.8,Positive,General
351,1216,14,very happy with this purchase,5,2023-11-22,0.612,0.922,Positive,General
352,1253,16,great value for the price,5,2023-02-17,0.758,0.952,Positive,Price
353,1232,6,decent but not as expected,3,2024-09-07,0.0,0.5,Neutral,Quality
354,1011,10,works great and arrived fast,4,2023-01-19,0.625,0.775,Positive,Shipping/Delivery
355,1146,5,did not meet my expectations,1,2024-02-17,0.0,0.2,Negative,General
356,1009,3,sizing was way off from the description,2,2024-04-26,0.0,0.35,Negative,Quality
357,1141,11,comfortable and well made,4,2023-12-21,0.66,0.782,Positive,General
358,1025,13,will buy again,5,2023-11-02,0.0,0.8,Positive,General
359,1063,12,expected better performance,2,2024-09-24,0.44,0.438,Neutral,Quality
360,1006,5,great value for the price,5,2023-04-18,0.758,0.952,Positive,Price
361,1046,7,works great and arrived fast,5,2024-01-13,0.625,0.925,Positive,Shipping/Delivery
362,1027,9,too expensive for what you get,2,2023-02-14,0.0,0.35,Negative,Price
363,1169,13,quality is top notch,5,2023-10-04,0.202,0.84,Positive,Quality
364,1062,5,great value for the price,5,2023-11-23,0.758,0.952,Positive,Price
365,1063,17,decent but not as expected,3,2024-06-24,0.0,0.5,Neutral,Quality
366,1144,11,does the job but description was misleading,3,2024-05-09,-0.55,0.39,Negative,Quality
367,1043,12,very happy with this purchase,5,2024-07-25,0.612,0.922,Positive,General
368,1106,3,works great and arrived fast,5,2023-03-18,0.625,0.925,Positive,Shipping/Delivery
369,1111,15,good product but delivery took forever,3,2024-01-30,0.238,0.548,Neutral,Shipping/Delivery
370,1271,17,exceeded my expectations,5,2023-11-17,0.0,0.8,Positive,General
371,1079,17,very happy with this purchase,5,2023-04-19,0.612,0.922,Positive,General
372,1198,15,great value for the price,4,2024-09-27,0.758,0.802,Positive,Price
373,1143,14,exactly what i needed for training,5,2023-06-18,0.0,0.8,Positive,General
374,1055,4,customer service never responded,1,2023-09-04,0.0,0.2,Negative,Customer Service
375,1015,16,comfortable and well made,4,2024-11-08,0.66,0.782,Positive,General
376,1282,3,quality is top notch,4,2023-12-29,0.202,0.69,Positive,Quality
377,1221,17,too expensive for what you get,1,2023-12-08,0.0,0.2,Negative,Price
378,1026,13,quality is fine but price is too high,3,2024-03-08,0.103,0.521,Neutral,"Quality, Price"
379,1142,17,great value for the price,4,2024-09-14,0.758,0.802,Positive,Price
380,1026,8,good product but delivery took forever,3,2023-04-24,0.238,0.548,Neutral,Shipping/Delivery
381,1295,9,average quality for the price,1,2023-09-02,0.0,0.2,Negative,"Quality, Price"
382,1208,13,too expensive for what you get,2,2024-02-07,0.0,0.35,Negative,Price
383,1088,7,exceeded my expectations,4,2023-12-22,0.0,0.65,Positive,General
384,1049,6,will buy again,5,2024-05-30,0.0,0.8,Positive,General
385,1123,6,quality is top notch,5,2023-11-19,0.202,0.84,Positive,Quality
386,1234,5,great value for the price,5,2023-01-14,0.758,0.952,Positive,Price
387,1091,9,good product but delivery took forever,3,2023-03-20,0.238,0.548,Neutral,Shipping/Delivery
388,1243,1,will buy again,5,2024-05-15,0.0,0.8,Positive,General
389,1009,10,quality is top notch,4,2023-08-22,0.202,0.69,Positive,Quality
390,1049,4,comfortable and well made,5,2023-11-08,0.66,0.932,Positive,General
391,1180,9,comfortable and well made,4,2024-11-10,0.66,0.782,Positive,General
392,1181,10,decent but not as expected,3,2024-12-28,0.0,0.5,Neutral,Quality
393,1266,1,very happy with this purchase,5,2023-06-01,0.612,0.922,Positive,General
394,1073,12,sizing was way off from the description,1,2024-05-24,0.0,0.2,Negative,Quality
395,1046,7,exceeded my expectations,4,2024-01-22,0.0,0.65,Positive,General
396,1279,15,does the job but description was misleading,3,2024-06-23,-0.55,0.39,Negative,Quality
397,1201,14,good product but delivery took forever,3,2023-10-10,0.238,0.548,Neutral,Shipping/Delivery
398,1176,4,comfortable and well made,5,2024-03-19,0.66,0.932,Positive,General
399,1005,16,arrived late and packaging was damaged,2,2024-12-02,-0.44,0.262,Negative,Shipping/Delivery
400,1149,6,exactly what i needed for training,4,2023-11-07,0.0,0.65,Positive,General
401,1008,15,good product but delivery took forever,3,2023-02-11,0.238,0.548,Neutral,Shipping/Delivery
402,1157,1,good product but delivery took forever,3,2024-03-16,0.238,0.548,Neutral,Shipping/Delivery
403,1071,12,quality is top notch,5,2023-10-18,0.202,0.84,Positive,Quality
404,1139,5,exactly what i needed for training,4,2023-07-21,0.0,0.65,Positive,General
405,1017,16,decent but not as expected,3,2023-12-30,0.0,0.5,Neutral,Quality
406,1051,9,quality is top notch,4,2023-11-06,0.202,0.69,Positive,Quality
407,1166,5,exceeded my expectations,5,2024-11-30,0.0,0.8,Positive,General
408,1284,7,does the job but description was misleading,3,2023-11-05,-0.55,0.39,Negative,Quality
409,1237,6,great value for the price,5,2024-01-20,0.758,0.952,Positive,Price
410,1270,15,does the job but description was misleading,3,2024-12-11,-0.55,0.39,Negative,Quality
411,1219,15,will buy again,5,2024-03-06,0.0,0.8,Positive,General
412,1287,1,arrived late and packaging was damaged,2,2024-03-07,-0.44,0.262,Negative,Shipping/Delivery
413,1155,8,quality is top notch,4,2024-08-17,0.202,0.69,Positive,Quality
414,1290,10,great value for the price,5,2023-02-24,0.758,0.952,Positive,Price
415,1004,15,works great and arrived fast,4,2024-06-14,0.625,0.775,Positive,Shipping/Delivery
416,1139,4,exceeded my expectations,4,2023-12-08,0.0,0.65,Positive,General
417,1170,2,works great and arrived fast,5,2023-05-05,0.625,0.925,Positive,Shipping/Delivery
418,1265,5,will buy again,5,2024-07-29,0.0,0.8,Positive,General
419,1080,10,good product but delivery took forever,3,2024-10-05,0.238,0.548,Neutral,Shipping/Delivery
420,1103,4,average quality for the price,1,2023-03-10,0.0,0.2,Negative,"Quality, Price"
421,1127,7,will buy again,4,2023-04-17,0.0,0.65,Positive,General
422,1063,10,quality is top notch,4,2024-02-19,0.202,0.69,Positive,Quality
423,1280,9,exactly what i needed for training,5,2024-09-19,0.0,0.8,Positive,General
424,1012,6,very happy with this purchase,5,2023-05-26,0.612,0.922,Positive,General
425,1280,7,exceeded my expectations,4,2024-05-02,0.0,0.65,Positive,General
426,1253,12,decent but not as expected,3,2024-11-14,0.0,0.5,Neutral,Quality
427,1055,15,quality is top notch,5,2024-03-02,0.202,0.84,Positive,Quality
428,1235,4,exceeded my expectations,4,2024-07-31,0.0,0.65,Positive,General
429,1228,2,will buy again,5,2023-12-30,0.0,0.8,Positive,General
430,1235,9,comfortable and well made,5,2023-01-10,0.66,0.932,Positive,General
431,1258,7,great value for the price,5,2023-12-24,0.758,0.952,Positive,Price
432,1090,5,comfortable and well made,4,2023-12-27,0.66,0.782,Positive,General
433,1072,9,decent but not as expected,3,2024-11-05,0.0,0.5,Neutral,Quality
434,1248,13,quality is top notch,4,2024-04-28,0.202,0.69,Positive,Quality
435,1260,17,stopped working after a week,2,2023-09-23,-0.226,0.305,Negative,Quality
436,1298,12,great value for the price,4,2024-08-21,0.758,0.802,Positive,Price
437,1016,6,average quality for the price,2,2023-08-26,0.0,0.35,Negative,"Quality, Price"
438,1244,11,very happy with this purchase,5,2023-08-26,0.612,0.922,Positive,General
439,1090,13,works great and arrived fast,5,2024-03-06,0.625,0.925,Positive,Shipping/Delivery
440,1059,2,comfortable and well made,4,2023-03-16,0.66,0.782,Positive,General
441,1016,6,customer service never responded,2,2023-11-25,0.0,0.35,Negative,Customer Service
442,1294,7,decent but not as expected,3,2023-07-20,0.0,0.5,Neutral,Quality
443,1116,7,very happy with this purchase,4,2023-06-15,0.612,0.772,Positive,General
444,1013,4,arrived late and packaging was damaged,1,2023-07-28,-0.44,0.112,Negative,Shipping/Delivery
445,1185,14,exactly what i needed for training,4,2024-08-04,0.0,0.65,Positive,General
446,1271,16,will buy again,5,2023-07-14,0.0,0.8,Positive,General
447,1183,5,great value for the price,4,2023-03-10,0.758,0.802,Positive,Price
448,1292,3,exceeded my expectations,5,2023-05-11,0.0,0.8,Positive,General
449,1256,8,comfortable and well made,4,2023-02-22,0.66,0.782,Positive,General
450,1149,9,exactly what i needed for training,5,2024-02-04,0.0,0.8,Positive,General
451,1081,10,very happy with this purchase,4,2023-03-18,0.612,0.772,Positive,General
452,1257,10,exactly what i needed for training,4,2024-02-13,0.0,0.65,Positive,General
453,1135,1,does the job but description was misleading,3,2023-02-03,-0.55,0.39,Negative,Quality
454,1031,5,comfortable and well made,4,2023-07-29,0.66,0.782,Positive,General
455,1032,8,did not meet my expectations,1,2024-05-20,0.0,0.2,Negative,General
456,1037,14,exactly what i needed for training,5,2024-09-04,0.0,0.8,Positive,General
457,1246,5,exactly what i needed for training,5,2023-10-05,0.0,0.8,Positive,General
458,1260,8,decent but not as expected,3,2024-10-27,0.0,0.5,Neutral,Quality
459,1117,1,expected better performance,1,2023-02-26,0.44,0.288,Negative,Quality
460,1195,1,great value for the price,4,2024-07-19,0.758,0.802,Positive,Price
461,1065,14,quality is top notch,4,2024-12-19,0.202,0.69,Positive,Quality
462,1061,12,decent but not as expected,3,2023-12-27,0.0,0.5,Neutral,Quality
463,1122,8,very happy with this purchase,4,2023-04-05,0.612,0.772,Positive,General
464,1275,2,very happy with this purchase,5,2023-01-16,0.612,0.922,Positive,General
465,1040,2,exceeded my expectations,4,2023-05-10,0.0,0.65,Positive,General
466,1180,8,sizing was way off from the description,2,2023-10-27,0.0,0.35,Negative,Quality
467,1063,3,quality is fine but price is too high,3,2023-03-20,0.103,0.521,Neutral,"Quality, Price"
468,1183,8,comfortable and well made,5,2024-03-30,0.66,0.932,Positive,General
469,1150,8,comfortable and well made,5,2024-06-23,0.66,0.932,Positive,General
470,1258,4,decent but not as expected,3,2023-02-25,0.0,0.5,Neutral,Quality
471,1249,9,quality is fine but price is too high,3,2023-03-22,0.103,0.521,Neutral,"Quality, Price"
472,1267,8,very happy with this purchase,5,2023-11-09,0.612,0.922,Positive,General
473,1073,2,will buy again,5,2023-08-29,0.0,0.8,Positive,General
474,1011,16,decent but not as expected,3,2023-02-04,0.0,0.5,Neutral,Quality
